"","text","sentiment"
"1147","kacau kacau becandaan negeri tercinta kacau balau negaraku ",1
"1148","enak banget jawabannya",2
"1149"," sih pernyataan berhubungan",2
"1150","baubau logical fallacy",1
"1151","loh kolamnya yaudah banjirnya ya nikmati ",2
"1152","geram banget lihat wawancaranya the way he talk",1
"1153","cari mengatai banjir kesadaran warga jakarta sdar kalo gubernurnya krang waras sdar kalo orang ikutan membela anis blo'on sadar kalo salah pilih kalo sadar yuk rame ambil solusi cepat turunin gubernur hjar suka membela anis",1
"1154","gua orang mengomong based on video lucu banjir ig deh",1
"1155","mengomong sih",1
"1156"," kerendem banjir ",1
"1157"," tubuh banjir salurannya jelasefeknya sehatkalau fisik kota gmnsalurannya bikin sehat banjir gitusuruh nikmati",1
"1158","tolong truckkun kirim isekai servantnya raja tirani otoriter eh mempan ya kalo hasut rajanya",2
"1159"," ",2
"1160"," avatar",2
"1161","widodo maaf and terima kasih humor siang ",2
"1162"," stres kali ya kasihan ",2
"1163"," kudu goblok ya biar pejabat",1
"1164","jaman jokowi ahok santun jarang mengeluarkan statement dasarnya ahok suka mengeluarkan statement jubir bro",2
"1165"," kagak knkek wakil jurik wakil rakyat",1
"1166","kelewat vlcerdas",1
"1167"," tolong kasih tips pemerintahan biar jarang banget banjir kayak jaman ",1
"1168","kalo air minum dinikmati air banjir tubuhnya berisikan air banjir ya",1
"1169"," kalo avatar bisanya orang ",1
"1170"," cebong berkuarkuar",1
"1171"," pertanda turunan ubur",2
"1172","ajarinn manajemennn air kykk film avatar pengendali air kahhhhhhhhh",2
"1173"," ahok the best bikin manusia waras",2
"1174"," makan bangku sekolah ya",1
"1175","oke menikmati ditempat banjir",1
"1176","banjir meninggalkan trauma uang barang kebuang barang nya kenangannya pas mengomong sih pikirin uang enak serba berkecukupan seenak nya mengomong ya",1
"1177","gue bawain golok kak",1
"1178","untung aquaman",2
"1179"," sekda jaman jokowi sampenpak anies jabat ngelantur sekda sepemikiran gubernur meluapkan kecapekan baca komen semalem mata najwa bicaranya bijak pas diberita kesalahan media bapaknya arus ketua kelelahan mengurusi jakarta diemdiem rencana kalo melipir orang pandai tolonglah capek mengistirahatkan kepandaian selesaikan membantu perubahan jakarta barulah terserah turun jabatan resign ",1
"1180","hmmm",2
"1181","alasan curah hujan taii jaman anis curah hujan he bos gubernur hebat antisipasi bego ampun anggaran tau kemana ",1
"1182"," mulut sang sekda dimanagament ",1
"1183"," mulut nya suruh suruh sedot airnyaterlalu menyakitkan nya",1
"1184"," besok manajemen api angin tanah",2
"1185","thanks ",2
"1186","serah lo deh pul",2
"1187","unsur gotong royong sesuai sila patut tiru melindungi",2
"1188","mengomong gubernur bwah presiden lo sehat sakit banjir",1
"1189"," bedanya twit komedian rame",2
"1190"," bodoh ",1
"1191"," turu wae dengarkan gutakbenerjadi emosi turu wae",1
"1192","aka menteri balaikota",2
"1193","kacaw",2
"1194"," bilang bumi air paktolol",1
"1195","hah dinikmati nenek lu",1
"1196","mengapai lo follow gua akun bodong berharap accept",1
"1197"," bacot nyinyir beliau tunggu pilgub",1
"1198"," orang otaknya air doang nih",1
"1199","salute mengamalkan prinsip filsafat",2
"1200","ndasmu isi air got ndro",1
"1201"," coba banjir mengomong",1
"1202","aka baca bang wkwk",2
"1203","manajemen air semester ",2
"1204","lo pikir pas masalh suruh ya kerja bagus deh",1
"1205","kalo ahok mah badut asu dipecat",1
"1206","manusia kayak kecilnya susuin emaknya ya",1
"1207","pembelaan kehabisan ",2
"1208","pejabat publik mengomong nya bebas ya banget kualitas akademik nya dibawah anak sd",1
"1209","komen pro kontra menyolot ",1
"1210","yaaak menikmati terooooos jakarta tenggelam nyahok",1
"1211","pejabat berguna",1
"1212"," terbuat air tanah",2
"1213"," sekda mengomongnya kayak mucikari pinggiran rel kereta api pantesan suruh menikmati air sekda jakarta sungguh memalukan",1
"1214","yib pulang yib",2
"1215","rakyat bohongin capek deh bgm airnya pompa kak kantor gubernur biar merasakan menikmati banjir",1
"1216","dinikmati matamu",2
"1217"," jakarta atlantis wkwk",2
"1218","ketahuan cerdas nya",2
"1219","eh goblok bencong mengapai follow gue jijik berani drtd otak tuh dipakai jenggot dengkul dibanggakan berani nya komen menyampah provakator pakai akun bodong banci cemen berani akun asli diprivat kalo mengapai takut ajukan jalur hukum bawa pengacara kalo ",1
"1220"," bubungannya tubuh manusia air banjirayooo coba mmng solusi unk penanganan banjir kmai maklum disesalkan pemimpin pejabat menyuruh masyarakatnya unk menikmati banjir ketshuan gobloknya",1
"1221","ya sekalin tuh air banjir lu pakai minum mandi bego ",1
"1222"," bilang presiden banjir mudah tangani ya ",1
"1223","pale lo bau tokai",1
"1224","landasan lu bilang sipit diameter lu isa ngitung sekolah kagak",1
"1225"," bukti ijazah bukti sekolah bukti mikir",1
"1226","hilih kintil",1
"1227"," majuin ibukota bikin lengser pilih orang mengaco mengurus ibukota wkwkwkek",1
"1228"," sekda ya",1
"1229"," ceteknya",1
"1230","doa orang tertimpa musibah banjir semoga cepat ijabah allah biar pemimpin dzolim merasai",1
"1231","ngakaak",2
"1232","aka wkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwk",2
"1233","nais",2
"1234","anjay cerdas ya",2
"1235","aneh statment nya pejabat ",1
"1236"," doakan orang takabur",1
"1237","kualitas birokrat segini nih pernyataannya",1
"1238"," menikmati ",2
"1239"," menyangka statement mulut pejabat sekelas sekda dki hoax taunya fakta",1
"1240","halal kah mengatai ngentod",1
"1241","melawak kerja nya ",2
"1242","nih main bola gua sleding kakiknya emosi gua",1
"1243","boomer boomer tukang lawak",2
"1244","aka gobloknya jang",1
"1245"," sih anis orang ahli banjir orang belanda notabene belanda dikelilingi sungaimereka berhasil lo menggaji tugpp jumalhnya seambrek",1
"1246","dinikmiti siji",2
"1247","bang toyib bang toyib pulang pulang anakmu anakmu panggil panggil namamu",2
"1248","wkwkwkwkni orang digaji ya",2
"1249"," ditampol",1
"1250","warga jakarta menggaji menimati gaji menikmati banjir menggaji adil wkwk",1
"1251","banjir nikmati ",2
"1252","sekda orangorangan sawah tolol",1
"1253","cubaaa bapa rendem air coklat ya warga jakarta manja n menikmati banjir cubaaa rumah bapa rendem ngembang kerjaaaa woyyyy",1
"1254","sah tahi lalet",1
"1255","menikmati perabot hancur pintu jendela keropos kena air pakaian kotor cari pasokan air bersih dijatah pasokan makanan bersih dijatah menunggu uluran tangan donatur air kotor sumber penyakit orang kerja sibuk beresin rumah mentang ibukota pindah diurus ibukotanya lakukan wargapembisnis jakarta pindah lahan nikmati musibah merasai musibah enteng mengomongnya",1
"1256","nenek kau suruh nikmati",2
"1257","supat sipit lu orang rasis mamak lu gagal ya orang tua mengajari anak hasilnya",1
"1258","pejabat beretika sadar sekda ans jabatan tgg mengekspos berempati cerdas nya sekda menjilat ya mulut ituzzzz",1
"1259","sekda berpikirnya mengikuti tuan nya jaman ahok skrglucudulu doi cerdas lemot",1
"1260","pejabat kerja dikasih jabatan hasilnya makan gaji buta korupsi sisanya banjiiiirrrrr",1
"1261","kalo gue gubernur dki orang gue pecat ya sekda ",1
"1262"," kagak demo berjilid jilid",2
"1263"," sipit kalo belo gue bilang belo",2
"1264"," dirasain kali manis manisnya",2
"1265"," merasakan nya kena banjir berempati bgst",1
"1266","orang pakai system manajemen air pakai excelairnya tumpehtumpeh ",1
"1267","terlampau pintar one abud and bawahannya pertimbangan kerja kerja",1
"1268","iya ya posthink ",2
"1269"," bencana gempa bumi beliau dinikmati tubuh tanah maybe",1
"1270","statement bodoh orang sekelas pejabat pemerintah kota tolong otak dipakai dibuang",1
"1271","",2
"1272","nuh pasrah wkwk tuhan nyiptain otak berpikir danc cari solusi",1
"1273","sekda tahi kak kucing",1
"1274","rumah mengalami banjir coba rasakan rumah kebanjiran elektronik rusak baju ganti bersihin rumah lumpur coba rasai coba menikmati ",1
"1275","wkwkwkwk mengakak guling enak ya coco te asbiun pejabat",2
"1276","rela samsak berjalan menutupi ketidak pekerjaan atasannya",1
"1277","coba cek ig tuh real menteri blunder blow up ngetag jokowi langsung wakil menteri desa tuh gue mengakak pas bilang camping nginep desa dilantik salah pendukung jokowi mengambek dikasih jabatan mengomong wishnutama kerja berdarah menteri kayak kudu dikritik",1
"1278","ya manajemen airnya dihilangkan",2
"1279","lu gua v",1
"1280"," lur",1
"1281","napasi",1
"1282","sih bngstt",1
"1283","sarapan pagi pakai ",2
"1284"," gelowwww jakrdah banjir menyarankan baca berita kapal kapal kapal",2
"1285","pengin banget deh tmpat bnjirnya",1
"1286"," ya jokowi staf mentri nya",1
"1287","iq jongkok ya murahan ",1
"1288","lu bangga gubernur ",1
"1289","cocok artis iklan aqua",2
"1290"," alasan nya bacot akun bodong teriak kuping orang otak dangkal realistis sok cerdas forward pesan wise grup wa keluarga kantor organisasi kalo lo pintar mengapai lo bacot doang pakai akun asli malu lo nyamber sipit betina",1
"1291","ndasmu",2
"1292"," lumpur sampah manajemen ",1
"1293","geblek",1
"1294"," wkwkwkk dikenain pasal nyebuttin nama sebuttin nama menghina kena pasal pencemaran nama gila",1
"1295","iya anjir",2
"1296","hiyahh sipit betina kayak sipit jantan comment nya limit sampean sok kayak artis malu takut comment",1
"1297","mantap pol",2
"1298","made my day",2
"1299"," gue sirem pakai air banjir",2
"1300","nuh iya gubernurnya banjir nilai respon penanggulangannya gubernur banjir gubernur menghadapinya lepas tangan ongkang kaki terima gaji",1
"1301"," mengaco",1
"1302","untung kota pindah",2
"1303"," ikutan tolol ",1
"1304","wkwkwkwkwkwkwkwkwkkwkwkwkwk ya allah",2
"1305","ya ci setuju pendapat mu intinya kalo kerjanya wajib mengkritik ",1
"1306","setuju ",2
"1307","kalo tau orang kak",2
"1308"," kota diduniayg penjabatnya orang bodohpenuh pikiran halusilahkan tebak",1
"1309","oh my lord god please safe the country",1
"1310"," mengaco nih orang kalo mengomong",1
"1311","manajemen airr",2
"1312","kasih statement kanbpk jabatan anakkacil belajarlahdari pngalaman sekda yth",1
"1313"," bahan forward grup wa mbak hahahahahaha",2
"1314"," kocak lihat orang politik ngeri sedep lihat daerah setir orang model an ",1
"1315"," memikirkan kebanjiran mengungsi walapun pemerintah kasih pengungsian coba dipikirkan meminimalkan banjir biar banjir kayak ya sulit kalo bikin banjir meminimkan aduh semoga merasakan rumahnya kerendem air banjir sepinggang kerendem tuh lemari lemari tuh tembok tembok kotor gemas ",1
"1316","nope realistis bro kalo comment gue banggakan pejabatnyg coba olah kalimat gue",1
"1317","dinikmati bullyan warga indonesia kerja gabenersih rakyat indonesia pertiga jakarta nikmati bullyan nya ya",1
"1318","kegoblogan pertontonkan banggakan terucap mulut harusny melayani masyarakat",1
"1319"," mencium aromaaroma pertikaian kadrone cibi menunujukkan ciri khas mantap",1
"1320","hahahahahaa love you kak ben",2
"1321"," otaknya larut",1
"1322","tubuh pertiga air air comberan deh tunggu banjirnya rumah sekda dinikmati ya ",2
"1323"," kerja masak kolam renang ",2
"1324","yaudah serap ",2
"1325","tinggal pensylvania sok ngebacot jakarta antek teroris nih tolong tangkap viralin akunnya biar ditangkep awas jihadis akunnya tebar kebencian ",1
"1326","ya air banjir tubuh tubuh coba coba",2
"1327"," free time pekerjaan sih ya",2
"1328","maksudnya abang inigubernur dipecat menteribener",1
"1329"," orang kayak lapor bilang mbak polisi sombong kayak anak manja suka lapor ",1
"1330","akun bodong mengoceh",1
"1331","bang motor beat",2
"1332","sekut",2
"1333"," otaknya full isi air ya",1
"1334","kayak dipemerintahan gangerti ",1
"1335","lohiya thoyib gubernur mantan pecatan menteriiya yibbenerkok pulang yibsdh ",1
"1336","gua bela netizen kagak otak",1
"1337"," ya",2
"1338","pengin cium tangan berkali kali",2
"1339","kepala lu benjot menikmati sengsara woi rakyat menderita geblek",1
"1340","bahagia warganyasantuy gubernurnya",2
"1341","tipikal kalo main ml mm duluan orang pick mm oke sip",2
"1342","kali ",2
"1343","aka goblok",1
"1344","setuju orangnya kubu cebong kadrun kalo salah ya kritik logika mabok politik identitas",1
"1345","coba mengomong zaman ahok demo malam",1
"1346","widodo",1
"1347","hubungannya bambaaang yakali orang disuruh nyerap air banjir biar surut ",2
"1348","barang barang rusak kerja sekolah mash disuruh santuyyy",1
"1349"," sekda ahok ketularan pintar sih",1
"1350","khusnudzon belio pengin viral",1
"1351","wkwowkwowkwoko",2
"1352"," hubungannya sik tubuh pertiga air cmon your argument is invalid",1
"1353","waduhhhhhh deh kelewatan bodohnya iya air air selokan busuk air bersih kali masuj tubuh hubungannya air tubub banjir ya banjir menikmati banjir orang gila brti pemilih gabener gila banjir dinikmati",1
"1354","isi dunia air",2
"1355","aka sekda dki gblog",1
"1356","take home pay sekda dki ya ",1
"1357","hehehe",2
"1358","aduh sih mulutnya",1
"1359","",2
"1360","dinikmati pale lo kempes gue kagak kuliah kemarin cok",1
"1361","banjir mah alam tau salah gubernurnya",2
"1362"," merasai rumah banjir kali ya enak mengomong menikmati ",1
"1363","wkwkwk",2
"1364"," jepang kalo pejabat salah langsung mengundurkan membungkuk publik maaf rakyatnya malu kadang kesalahannya sebatas isu jelasss disuruh nikmati banjir kasihan warga dki hidupny susah suruh nikmati banjir ",1
"1365","syukakkk deh",2
"1366","follow me gaes",2
"1367","what",2
"1368","senangnya pegawai pemda jakarta sekarangpimpinannya humoris ",1
"1369"," ku teriakk goooooobbb",1
"1370"," nih kalo pejabat lahir janin hamil banjir bacot kayak",1
"1371","aka suka suka goblok kau natural bodoh",1
"1372"," kali seindonesia sekda dikasih panggung aneh informasinya",1
"1373"," persilahkan menikmati air banjir",1
"1374","bagus sekda setuju",2
"1375","comment tutup sok an artis malu kau tahi tenggelam kau bawa banjir guru matematika sekolah swasta",1
"1376","air ya kagak air banjir ",2
"1377","sekda daerah khusus ibukota pantesan ibukota negara dipindahin",1
"1378","kadang berpikir dimanakah nalar logika pemimpin pikirnya kacau banget berupra pura bodoh",1
"1379","dasar saepul",2
"1380"," manajemen kalbu aa gim ",2
"1381"," mengapai mention humas polri dikbud tolol hahahahahahahahha",1
"1382"," acara tv garing garing lucunya tuh ",1
"1383","kepala bapa kao",2
"1384"," boi",2
"1385","aka mnteri ",2
"1386","aka goblok sekda woi",1
"1387","setuju kecuali kalo pemerintah dki lepas tangan pemerintah berusaha sebaikbaiknya",1
"1388","idola wkwkwk",2
"1389","banten jateng jabar jatim jakarta banjir jakarta doang pade ribut banjir heran bocah",1
"1390"," avatar aang",2
"1391"," otak jaman sokarno banjir",1
"1392","santai ndas mu dul dul",2
"1393","mohon maaftadi perawatbapak telat minum obatnya bicaranya stabil sekalinya diminum obat botolanyg dikocoknya salah",1
"1394","sableng",1
"1395","emosi biar kena stroke menikmati banjir nya",2
"1396","emosi biar kena stroke masal kaum bani jamban",1
"1397"," kayak stamen sekda bijaksana goblok iya",1
"1398"," pendukungnya bersuara",2
"1399","mentri agama maksudnya beda broh mah menteri blunder ya dikritik mah dhani dibela gue cek ig nya highlight story nya membela dhani statement dhani ketidakterimaan dipenjara blow up kadrun lo lihat gue bela pendukung jokowi dibilang buta lihat pendukung berani kritik menterinya prabowo menteri agama ",1
"1400"," air kiriman wilayah bogor ya kota dibuatkan waduk airnya kemana jaman belanda negeri busa waduk sih menyadari kebutuhan masyarakat diatas kepentingan pribadi pebisnis kalo pembangunan jalan insfrastruktur pembuatan apartment jor joran solusi banjir bangunkan waduk dikota hujan ya maaf pemerintah kepentingan pengusaha ketimbang rakyatnya berpikir kalo rakyat hidup susah takdir pembiaran warga negeri mengalami banjir berkali kali hujan iklas dilewati air bah mall mall sepi pengunjung kokoh dibangun bermewah mewah",1
"1401","dinikmati dikata aernya air milo",2
"1402","pengin menghujat warga tangerang dki hufttt tahantahan",2
"1403","wow",2
"1404"," banjirsebab manusia biadab sengaja membuang karung berisi sampah pasir saluran air",1
"1405","ngeles mulu muka gila tau bencong pakai akun bodong diprivat lu banjir blok",1
"1406","lu makan tuh",1
"1407","gubener sekdanya bedanyasm ",1
"1408","malu maluin",1
"1409","saking pinternya ya allah pengin salim kalo ketemu ",1
"1410","benaran nih mengomong ",2
"1411","hahahahahaha jaman nau goblok mempuni",1
"1412","kanebo kering robek presiden maki masalahdia songgong ampun terhinakan urusan bosku proses nitizen bawel",1
"1413","wkakakakaka sungguh sekaleee",2
"1414"," jenius ",2
"1415","bingung program ",2
"1416","konteksnya dikaitkan komposisi tubuh haduuhh",2
"1417","bodoh dipelihara",1
"1418","hahahahaancukkk",2
"1419","buntut mengikuti kepalanya",1
"1420","oi sipit suruh ahok mu jabat maniak ahok gila lo",1
"1421","ditunggu alasan ngeles ajaib nya butuh hiburan",1
"1422","bodoh berjamaah",1
"1423","sepertiga otak kelelep air",1
"1424","diniknamati ",2
"1425","tilil ih",2
"1426","ya pejabat publik minumnya air peresan kaos kaki hati empati samasekali",1
"1427","manusia bersyukur kasih hujan menyalahkan orang berani menyalahkan maha pencipta dungu",1
"1428","ahahahaha",2
"1429","wkwkwkwkakwkwk",2
"1430"," bawa ras habis kau maluku",1
"1431","eh goblok lu otak level bilang jago sapa pekerjaan variasi mobil konstruksi sipil guru math ya wajar tulisan bio client akun bodong situ cuman gedein jari otak otok diragukan ",1
"1432"," parah uang rakyat dirampok",1
"1433","ya allah mengakak",2
"1434","tahi musibah digae santai",1
"1435","ya allah bapaknya menggemaskan pengin doain diampuni dosa dosanya",1
"1436","tahanjangan mengatai tahan",2
"1437","jakarta mengeluh ya jakarta mengharapkan gubernur ",1
"1438"," banjir jakarta reda curah hujan kayak kalo goblok terka berubah pejabatnya jakarta banjir",1
"1439","avatar",2
"1440","oi mata belo sapa bilang maniak ahok sekolah ya logika dipakai dasar kesimpulan dimana tuh tny bpk biar ",1
"1441"," sekda atasannya politisi wkwkw",2
"1442","toolol",1
"1443"," air tubuh air banjir kandungan air tubuh beda",1
"1444","goblok diperlihara pemimpin mengomong ",1
"1445","from zero zero",2
"1446","sekelas pejabat mengomong kayak gituso sadbener hopeless warga jakarta",1
"1447","putus asa",2
"1448"," kadrun",1
"1449","bgsdlah",2
"1450","sleding jagan nih",1
"1451","coba lo teman lo keren bos adu bacot pakai akun asli hahaha caur kau menyambung sombong gelar tenggelam kau bawa banjir",1
"1452","ih lucu deh pengin gue lempar perabotan rumah gue rusak banjir",1
"1453","malu ",1
"1454","eh goblok coba dibaca komen situ baca kagak sih sekolah logika ditabok buku kalkulus biar pinteran dikit",1
"1455","aaaahh nikmaaaat",2
"1456","teruntuk saudaraku bermukim jakarta semoga air membanjiri cepat surut beraktifitas sedia abaikan petuah petuah semangat",2
"1457","tubuh kali nya isi air banjir",2
"1458","menyedihkan ya",1
"1459","teman sombong gelar dimana kalimatnya muter goblok dipiara",1
"1460","bapakhidup dinikmati bertanggungjawab biar terjadiharusnya malu atuh pakkrn gagal",1
"1461","'dinikmati ' kacau lo ah wkwk",2
"1462"," kau monyet nyamber sok ikutan sok analis logika mengapai bawa maluku gue bahas maluku",1
"1463","hadeh bapakkk",2
"1464","hm",1
"1465","banyakek minum air mineral lia",2
"1466"," bencana orang frustasi keadaansetidaknya dki pelawak pelawak inilumayan menghibur warga dkisebenarnya dki maju banding era ahoksoalnya orang marah mulusekarang dki bahagia teruskarena tertawakan salah satunya ya ",1
"1467","ya koleksi sepatu jordan balenciaga givency gue pertiga nya karet air kena air rusak ya duh",2
"1468"," bodoh sekelas sekda",1
"1469","situ bencong braninya komen ngasal pakai akun bodong goblok bencong jijik kalo mengapai takut selesaikan jalur hukum oke",1
"1470","gubrak",1
"1471"," otaknya kembung kebanyakan nelen air",1
"1472","mantap gila jawabannya",2
"1473","ehmm mengasih info setau gue doi kerja gubernur ngejabat okowi ahok anies",1
"1474","nikmati kepala lo",2
"1475"," sekda orang dalem ya hihi",2
"1476"," suruh menikamati gila kali coba kalo rumah kena banjir mengomong kalo bela ya copot",1
"1477","mending piknik lupakan banjirnya mumpung diskon tiket psawatnya",2
"1478"," beda air banjir",2
"1479","aquaman hahaha",2
"1480","menterikaga baca tongitu ditulis sekda dki",1
"1481"," longsor nikmati manajemen pemasaran tanah lagipula tanah",1
"1482"," biasain kalo banjir hilih ",2
"1483"," sekda jaman jokowi ahok loh dipertahanin fyi kalo update berita",1
"1484","ya lo mengurusi bro jago teksip konstruksi tinggalkan mengurusi car audio interior dll menyambung gedein otak otot",1
"1485","aka bodoh lu natural suka banget gua",1
"1486","hatrick goblok nya",1
"1487","nikmat banget pakai nasi panaaaass eeuuhhhh pesennya seriuusaaaann jengkolnya manteeepppp",2
"1488"," air bos",2
"1489","mindblowing",2
"1490","tenggelamkan",2
"1491"," tubuh kebanyakan air paru kerendem loh muncul penyakit meninggal loh mikirnya ya",1
"1492"," pas jaman ahok orang aga waras minum salep kumat",1
"1493"," mabok aibon nih gue ",2
"1494"," kalo ya copot ",1
"1495","kalo bos bego anak buahnya bego ",1
"1496","menikmati ",2
"1497","serah gue kntl",1
"1498","dinikmati kalo kemarin memilih anies memilih protes",1
"1499","mendingan kasih pernyataan",2
"1500","bawel polisi moral kaku lu kayak kanebo kering",1
"1501"," curah hujan udik",2
"1502","hahaha pembodohan",2
"1503","banjir dinikmati",2
"1504","manajemen air kedepan",2
"1505","ya uang kuasa sih berasa ya nikmatnya banjir orang merugikan kantor lewatin banjir toko kena banjir ttup barang dagangannya terendam kalo kerjaanny makan uang rakyat kinerja nyata ya easy for you sayang that",1
"1506","iya tubuh trdri air iya iya saking banyaknny banjir",1
"1507","officials clownery",1
"1508","hahahaha adohhh",2
"1509"," gue bilang ndasmu",2
"1510","kebangetan logika berfikirnya",2
"1511","aka belajar baca tod sekda belajar huruf abc huruf baca sok sok profil aksara jepang",1
"1512","butuh super hero avatar nih gubernurnya sanggup menangani banjir jakarta",2
"1513"," halu bk",2
"1514","anjir banjir suruh menikmati",2
"1515"," lo ribut ya",2
"1516"," jamannya ahok pecatkan",1
"1517","tod",1
"1518","okelah",2
"1519","doi setau gue jaman jokowi ahok ngejabat coy seinget gue deh",1
"1520","aka buta",1
"1521","emangbcairan tubuh penyebab bajir begoo",1
"1522","bawahan atasannya kalo atasannya ya bawahannya maklumin ",1
"1523","aka wkwkwkw lucu banget sih bodohnya wkwkwkwkw",2
"1524","selamat menikmati",2
"1525","wkwkw komen takut lepas",2
"1526","ya memilih merasai semangat bro",2
"1527","berasa sia sia sekolah tahunan kalo omongan nya sekelas anak sd",1
"1528"," konyol gang bang",2
"1529","siaaap",1
"1530","mantap ",2
"1531"," bilang bilang pengendali air bilang manajemen air oke baeq ",2
"1532","ayo doakan anis jajarannya yg berkerja tulus ikjlas hati alhamdulillah nggak dengar hiruk pikuk banjir hujan lebat",2
"1533","",2
"1534","alhamdulillah semoga jakarta bebas banjir bpk cepet sehat aamiin",2
"1535","alhamdulillah smoga yg kemayoran tdk kena banjir mumpung dr riario tolong excavator nya mampir kali item donk paksdh banget ga dikeruk kali item dr galur sunter sdh dangkal janfeb kena banjir kali",2
"1536","sampe kapn psbb ",1
"1537"," warga jakarta yg merasakan kerja mendoakan beserta jajaran keluarga slalu lindungan allah kesehatan semangaaat trus ",2
"1538","ok boss sholat malam bossancamanbanyak pembenci tp yg mohon ancaman allah swt krn terbersit riya ujubpongahsholat malam lillahi taalla bossmungkin lupa krn capek",2
"1539","semangat sehat anis salam medan",2
"1540","apakahbenar bangun waduk cipinang melayujakarta timur",1
"1541","psbb jngan diperpanjang lgi bngung dirumahkan trus klau keperluan masyarakat ditanggung bpk si ya gpp diperpanjang trus jga",1
"1542"," cerita ttg mal fatih putus asa menaklukkan konstantinopel berhasil pembuka team ajak sholat tahajudmerupakan pembuka menaklukkan konstantinopelinsya allah boss",2
"1543","wahh langgagganan sya pulau mas rawamgun kl hujan smg sukses anis",2
"1544","iya gitu kerjain rakyat hasil kerja hsl ngomong yg ngawur",2
"1545","slide kasur dibuang kali dooong",2
"1546"," krn musim hujan akn tibatetap semangat n sehat slalu aamiin",2
"1547","gubernur varian ",2
"1548"," kartu kjp udah smp negeri jakarta pusat smp kelas",2
"1549","semoga banjirya allah wabah selesai dah pr pasrahkan kepadamu ybaamiiin yra",2
"1550","emng nunggu banjir bandang ya gub d keruk",1
"1551","allahu yutowil umurohu",2
"1552","psbb sept stop jgn diperpanjang truss anies rakyat udh susah ditambah susah gara gara psbb truss ekonomi jkt hancur gara psbb truss pemasukan bisnis hancur nasib jkt hancur gara gara psbb trus",2
"1553"," ngapung ya",2
"1554","sehat truss ya pa aniess",2
"1555","sehat anis semoga orang yg sabar amin",2
"1556","syafakallah semoga anies sllu lindungan allah subhanahu wataala",1
"1557","namanya drugkalo gak salah",2
"1558","pakapa rencanapersiapan dkikalau covid lamasd",1
"1559","barakallahsehat anis lindungan allahaamiin",1
"1560","juragan maduyuk follow ig official",2
"1561"," dgn kantor pengadilan",2
"1562","bismillah kepoin ig shop ku yukk sayy terpercaya terupdate open reseller ya sayy cocok banget yg pengen bisnis tambahan rumah langsung dri tangan boutique tanah abang",2
"1563","yg dikalideres gmn anies sy kebanjiran mulu nih sampe waswas klo hujan",1
"1564","tunggu udah banjir bertindak yaaa hebatt",1
"1565","barokallohu fii kum gubernur dki jakarta anies baswedan",2
"1566","selamat berjuang p anis pasukan",1
"1567"," nasi bungkus timah panas efpei teroris",2
"1568","emangg deh gubernur terbaik sehat ya ",2
"1569","mohon jalanan jakarta aspal yg rusak musim kemarau kemarin uki cawang pancoran jalanan amburadul",1
"1570","sehat ya semoga bpk kel dlm lindungan allah swa aamiin allahuma aamiin",2
"1571","semangattt anis sehat ",2
"1572","pa sy warga rt rw kelurahan jatinegara kaum jakarta timur musim hujan rmh sy kebanjiran krn saluran pembuagan air dngn kondisi lingkungan sy kelurahan dtg foto solusinya mohon pa bantuan nya utk mengatasi banjir ",1
"1573","giliran musim ujan kerukaturankemarin pas musim kemarau",1
"1574"," utk kesejahteraan warga denger yg suka nyinyir",2
"1575"," dm sibuk mohon disempatkan baca anies terima kasih",2
"1576","jaga kesehatan gub semoga allah mudahkan aamiin",2
"1577","masha allah semoga sehat wal afiat lindungi allah swt aamiinn",2
"1578"," jakarta gak kabar banjir ya ya karna gubernurnya kerja kerja kerja ya",1
"1579","sehat teruss ",2
"1580","waduk n keruk aja banjir komplek pulomasdan nkali yg seharus n hrs keruk ",1
"1581","maa syaa allah tabarokallahu",2
"1582","woyycecepahmadsh klo ngomong ayak ngegasemang gubernur malaikat yg bs ngangkat penyakitotak lo geser x yaa",2
"1583","sukses ",2
"1584"," observasi duluu wkek",2
"1585"," semangat anis lanjutkan perjuanganmu rakyat jakarta yg slalu mendukungmu",1
"1586"," dikerjain ckckckckckc",1
"1587","semoga anies tim pemprov dki sehat senantiasa lindungan penjagaan allah aamiin yaa allah",2
"1588","barakallah fii khum anis baswedan",2
"1589","kunci keberhasilan jakarta adalahpenanganan banjir sampahselain dianggap berhasil alias gagak",1
"1590","jakarta waduk pluit mahgak pentingggg sarkas",1
"1591","semangat semoga sehat ",2
"1592","gubernur ane ni sehat pa buzer rp ga ladenin pa biar allah yg bales tuh buzer",2
"1593","masyaa allahtabarakallahmudah allah melindungi kelancaran pa anies menjalankah amanah memajukan jakarta",2
"1594"," rakyat jakarta mendukung gubernur anies baswedan",2
"1595","celana bali",2
"1596","lanjutkan ",2
"1597","kereeennn",2
"1598"," bilang anies ga kerja gua tampol lu ",2
"1599","apapun sakitnya dibilang covid",2
"1600"," kerja nyata",2
